Period,Date,Close,Volume
1,10/16/17,143.75,2001900
2,10/17/17,143.429993,2435600
3,10/18/17,143.440002,1734100
4,10/19/17,143.619995,2623100
5,10/20/17,145.350006,3369500
6,10/23/17,145.919998,2892200
7,10/24/17,146.119995,3319200
8,10/25/17,145.990005,2780400
9,10/26/17,145.839996,2146700
10,10/27/17,146.199997,1869500
11,10/30/17,144.639999,1805600
12,10/31/17,144.160004,2443200
13,11/1/17,144.929993,2161700
14,11/2/17,145.410004,1944200
15,11/3/17,144.970001,1423700
16,11/6/17,145.600006,2038900
17,11/7/17,146.970001,2613900
18,11/8/17,146.860001,2514700
19,11/9/17,145.440002,2354100
20,11/10/17,145.75,2908200
21,11/13/17,146.720001,2014100
22,11/14/17,147.320007,2311400
23,11/15/17,146.369995,2521500
24,11/16/17,146.880005,2208900
25,11/17/17,146.490005,1637400
26,11/20/17,147.940002,3554300
27,11/21/17,149.350006,3028200
28,11/22/17,148.990005,1815400
29,11/24/17,149.660004,1196300
30,11/27/17,150.429993,2284600
31,11/28/17,152.759995,3656600
32,11/29/17,153.240005,3346200
33,11/30/17,155.960007,5681100
34,12/1/17,154.399994,3013500
35,12/4/17,153.770004,3250400
36,12/5/17,153.059998,2582500
37,12/6/17,153,2896400
38,12/7/17,153.279999,2044800
39,12/8/17,153.660004,1482400
40,12/11/17,153.210007,3623700
41,12/12/17,153.740005,2959300
42,12/13/17,155.800003,5064200
43,12/14/17,153.229996,3141700
44,12/15/17,154.25,4293900
45,12/18/17,154.589996,3574800
46,12/19/17,154.110001,4251300
47,12/20/17,154.729996,3582700
48,12/21/17,153.720001,4858400
49,12/22/17,153.490005,2152000
50,12/26/17,153.759995,1407400
51,12/27/17,153.949997,1764100
52,12/28/17,154.130005,1654100
53,12/29/17,153.360001,1669300
54,1/2/18,153.710007,2863600
55,1/3/18,152.440002,6337600
56,1/4/18,154.5,4496500
57,1/5/18,155.580002,2479000
58,1/8/18,154.740005,2739900
59,1/9/18,156.009995,3391800
60,1/10/18,157.089996,2562100
61,1/11/18,157.919998,2329400
62,1/12/18,159.070007,2343600
63,1/16/18,157.889999,3422400
64,1/17/18,158.410004,3163100
65,1/18/18,157.779999,2655800
66,1/19/18,158.690002,3765500
67,1/22/18,158.539993,3269300
68,1/23/18,159.589996,3902400
69,1/24/18,159.970001,2654800
70,1/25/18,161.839996,4083100
71,1/26/18,164.990005,5019800
72,1/29/18,161.470001,3669800
73,1/30/18,158.970001,3888200
74,1/31/18,159.669998,3289900
75,2/1/18,159.649994,2753500
76,2/2/18,156.649994,4208700
77,2/5/18,150.169998,5772200
78,2/6/18,151.399994,5319200
79,2/7/18,151.190002,3171900
80,2/8/18,146.020004,3362600
81,2/9/18,147.899994,5405900
82,2/12/18,149.470001,3455600
83,2/13/18,148.5,2815300
84,2/14/18,150.380005,2960300
85,2/15/18,153.419998,3635300
86,2/16/18,154.029999,2801100
87,2/20/18,154.339996,3713800
88,2/21/18,154.050003,4054900
89,2/22/18,153.309998,2224400
90,2/23/18,155.119995,3165500
91,2/26/18,156.5,2902900
92,2/27/18,153.919998,3098200
93,2/28/18,151.110001,3529000
94,3/1/18,147.210007,4626300
95,3/2/18,148.139999,3403900
96,3/5/18,148.509995,3400000
97,3/6/18,149.330002,2782900
98,3/7/18,150.410004,3984900
99,3/8/18,151.229996,2186300
100,3/9/18,154.210007,2884600
101,3/12/18,152.229996,2415200
102,3/13/18,151.5,1885900
103,3/14/18,150.419998,2028400
104,3/15/18,151.070007,1847800
105,3/16/18,151.779999,4329200
106,3/19/18,150.199997,2173400
107,3/20/18,150.479996,2721100
108,3/21/18,151.360001,2589700
109,3/22/18,146.880005,2579400
110,3/23/18,143.279999,3614500
111,3/26/18,146.940002,2245500
112,3/27/18,144.339996,3080700
113,3/28/18,143.259995,5022200
114,3/29/18,144.509995,2573200
115,4/2/18,142.429993,4092100
116,4/3/18,144.259995,3205700
117,4/4/18,144.839996,2769000
118,4/5/18,146.399994,2239600
119,4/6/18,142.740005,2867900
120,4/9/18,142.830002,1952400
121,4/10/18,145.630005,2880400
122,4/11/18,144.279999,1953100
123,4/12/18,146.470001,2327600
124,4/13/18,146.119995,1588500
